Site,Variable,Scenario,2030,2035,2040,2045
Jianyang Carbon (ZZ),Huss(g/kg),SSP2-4.5,7.561,7.961,8.101,8.202
Jianyang Carbon (ZZ),Rsds(W/m2),SSP2-4.5,180.607,179.871,186.173,186.136
Jianyang Carbon (ZZ),Tmean(C),SSP3-7.0,14.44,15.505,15.348,15.262
Jianyang Carbon (ZZ),Tmax(C),SSP3-7.0,19.025,20.265,20.205,20.007
Jianyang Carbon (ZZ),Tmin(C),SSP3-7.0,10.251,11.135,10.921,10.906
Jianyang Carbon (ZZ),Pr(mm/d),SSP3-7.0,2.574,2.242,2.589,2.474
Jianyang Carbon (ZZ),Wind(m/s),SSP3-7.0,2.767,2.755,2.777,2.795
Jianyang Carbon (ZZ),Huss(g/kg),SSP3-7.0,7.924,8.199,8.268,8.259
Jianyang Carbon (ZZ),Rsds(W/m2),SSP3-7.0,169.634,171.443,173.606,174.797
Jianyang Carbon (ZZ),Tmean(C),SSP5-8.5,15.514,15.699,15.948,16.959
Jianyang Carbon (ZZ),Tmax(C),SSP5-8.5,20.183,20.661,20.784,22.241
Jianyang Carbon (ZZ),Tmin(C),SSP5-8.5,11.144,11.084,11.442,12.069
Jianyang Carbon (ZZ),Pr(mm/d),SSP5-8.5,2.917,1.987,2.983,1.841
Jianyang Carbon (ZZ),Wind(m/s),SSP5-8.5,2.819,2.816,2.827,2.935
Jianyang Carbon (ZZ),Huss(g/kg),SSP5-8.5,8.207,7.359,7.96,7.618
Jianyang Carbon (ZZ),Rsds(W/m2),SSP5-8.5,184.366,186.205,186.716,193.013
OCI Japan Tokyo,Tmean(C),SSP1-2.6,14.1,14.26,13.787,14.737
OCI Japan Tokyo,Tmax(C),SSP1-2.6,16.586,16.659,16.225,17.14
OCI Japan Tokyo,Tmin(C),SSP1-2.6,11.657,11.906,11.406,12.356
OCI Japan Tokyo,Pr(mm/d),SSP1-2.6,5.149,5.18,4.232,4.782
OCI Japan Tokyo,Wind(m/s),SSP1-2.6,2.491,2.483,2.499,2.479
OCI Japan Tokyo,Huss(g/kg),SSP1-2.6,9.071,9.364,9.046,9.67
OCI Japan Tokyo,Rsds(W/m2),SSP1-2.6,167.331,159.855,166.237,168.01
OCI Japan Tokyo,Tmean(C),SSP2-4.5,14.514,14.765,14.698,14.587
OCI Japan Tokyo,Tmax(C),SSP2-4.5,15.99,16.577,16.825,16.935
OCI Japan Tokyo,Tmin(C),SSP2-4.5,11.253,11.848,12.011,11.983
