Country,Site,Scenario,Period,CDD (days),CWD (days),FD (days/yr),R95p (mm/yr),Rx1day (mm),Rx5day (mm),SDII (mm/wetday),SU (days/yr),TNn (degC),TR (days/yr),TXx (degC),WBGT (degC),WSDI (days/yr)
Korea,Gwangyang Plant,SSP5-8.5,2080s,33.2,6.8,0.0,534.58,56.05,88.46,18.45,70.0,14.77,161.6,22.86,17.96,118.4
Korea,Gwangyang Plant,SSP5-8.5,2090s,25.9,7.8,0.0,845.33,74.77,115.05,20.61,94.1,15.38,175.5,23.45,18.71,130.5
Korea,HQ Seoul,SSP2-4.5,2020s,25.5,6.1,76.2,191.61,29.78,47.45,9.87,46.2,2.0,15.6,18.86,11.03,6.6
Korea,HQ Seoul,SSP2-4.5,2030s,27.6,6.1,65.4,267.11,30.89,53.36,10.62,47.8,2.55,16.1,19.51,11.69,9.8
Korea,HQ Seoul,SSP2-4.5,2040s,30.4,6.7,52.9,440.94,37.85,59.7,13.07,57.4,3.35,23.6,20.01,12.26,12.0
Korea,HQ Seoul,SSP2-4.5,2050s,29.3,6.3,44.6,407.83,40.11,62.61,13.23,70.7,3.99,33.9,20.84,13.01,27.2
Korea,HQ Seoul,SSP2-4.5,2060s,28.1,6.1,45.4,473.01,36.43,58.48,12.84,76.8,4.15,36.5,20.89,13.08,34.0
Korea,HQ Seoul,SSP2-4.5,2070s,34.7,7.2,44.9,324.08,33.46,54.54,11.72,78.0,3.97,38.6,21.14,13.28,33.3
Korea,HQ Seoul,SSP2-4.5,2080s,27.9,6.5,42.6,309.23,34.6,54.0,11.66,91.7,4.34,40.2,21.94,13.68,43.1
Korea,HQ Seoul,SSP2-4.5,2090s,23.6,5.1,44.7,431.55,43.69,61.47,12.99,83.5,4.79,43.7,21.32,13.49,34.2
Korea,HQ Seoul,SSP5-8.5,2020s,24.4,7.8,66.8,378.79,34.79,61.84,12.85,41.9,2.0,19.4,19.08,11.36,5.9
Korea,HQ Seoul,SSP5-8.5,2030s,25.1,6.1,63.1,367.72,36.02,59.26,12.31,53.1,2.72,21.2,19.58,11.85,10.1
